ID,階段,模組,任務,說明,依賴,預估(人天),累積人天,優先級,狀態
T37,M2,上線,基本錯誤監控,Sentry 或等價。**提前＋升級 P0（2026-07-04 營運面檢討）**：目前所有 error handling 的最後一環都是 console.error，Vercel logs 留存短且沒有人主動看——「錯誤有被記錄」≠「錯誤會被看到」，production webhook 噴錯目前只能靠客人抱怨才發現。它是整套防禦性寫法（coding-system.md）的兜底，沒有它所有 throw 與 log 都是對空氣說話。收單前必須就位。｜✅ 完成（2026-07-04）：裝 @sentry/nextjs，接 instrumentation.ts／instrumentation-client.ts／global-error.tsx，next.config.ts 用 withSentryConfig 包裝＋CSP 開放 ingest 網域；補上 ECPay webhook（notify/route.ts）與 sendOnce 通知管線既有靜默失敗點的 Sentry 回報；本機手動觸發例外並在 Sentry 後台確認收到事件。PR #31。,T04,0.5,90.5,P0,完成
T33,M2,售後,售後申請（分類）,七天退(限適用品)/瑕疵申訴/維修保養，不同流程時限｜✅ 完成（2026-07-02）：新增 support_request 表（migration 0006，破例增表）；業務拍板半客製＝法定客製品無七天鑑賞退；客戶端單一入口「商品問題回報」（存 return_defect）；`/account/orders/[id]/support` 申請頁＋訂單詳情頁入口；`/admin/orders/[id]` 售後區塊（狀態更新＋手動建維修/保養案件）；email 通知店家。完整審核分流＋綠界退刷 API 自動化留 T47（M5）,T08,1.5,92,P1,完成
T38,M5,上線,🚀整體測試與上線檢查（戒指）,E2E 走查、checklist｜checklist 須檢核四項 dashboard 設定已完成：T34 備份／T50 寄件網域／T82 環境分離＋Deployment Protection／T83 Auth production 設定（2026-07-02 環境審查補充）｜再加一項（2026-07-04，T37 PR #31 隨手記）：NEXT_PUBLIC_SENTRY_DSN 設定完成後，手動觸發一次例外（build+start 或打錯 CheckMacValue 的 ECPay webhook），確認 Sentry 專案 Issues 頁面真的收到事件、environment 標記正確，才算監控就位｜再加一項「配額與方案盤點」（2026-07-08 壓測風險討論定案，以此取代壓力測試——現階段流量模型不需壓測，真風險是免費方案天花板）：①**Vercel 升 Pro（Hobby 條款禁止商業用途，收單前必辦）**②Resend 免費 ~100 封/天 vs 預估單量（一單 2–3 封）③Upstash 免費每日指令數 vs OTP 限流用量④Supabase Pro（T34 已含）⑤日後有行銷檔期/媒體曝光前，再對 staging 做輕量 load test（k6，需 T82 完成）。Dashboard 操作由使用者本人執行,—,2,94,P0,未開始
T45,後續,擴充,擴充其他品類（耳環／項鍊／手鍊）,靠後台自行上架＋素材,T13,2,96,P2,未開始
T67,M2,金流,◆ 修正 order-result 訂單號重組錯誤,"✅ 完成（2026-07-04，PR #30）：order-result route slice(11) 改 slice(11,17)，與 notify fallback 一致；新增 route.test.ts。",T53,0.25,96.25,P0,完成
T68,M2,金流,◆ Webhook 錯誤處理與金額核對強化,"✅ 完成（2026-07-04，PR #30）：notify 外層 catch 改回 0|Internal Error 觸發 ECPay 重送；正常/fallback 兩路徑皆加 TradeAmt 與系統內金額核對（縱深防禦）。三輪 ultrareview 追加：ensureOrderPaid/ensureNotificationSent/payment UPDATE 皆補上 Supabase {error} 檢查（原本只看 data 會把暫時性 DB 錯誤誤判成功）。",T26,0.5,96.75,P0,完成
T69,M2,通知,◆ Email 改 waitUntil＋notification 去重落地,"✅ 完成（2026-07-04，PR #30）：email 寄送改 await（未採 waitUntil，避免引入新依賴）；新增 src/lib/notification/send-once.ts 落實 notification 表 unique(order_id,type) 去重，含 claim/reclaim/stale-pending 機制。已知殘留缺口：send-once.ts 的 never-throw 契約讓自癒機制對「真正寄信失敗」打不到，登記為 T88 另外處理。",T68,0.5,97.25,P0,完成
T70,M2,資料庫,🚀◆ cart.guest_token 加 unique 約束,"✅ 完成（2026-07-09，PR #45）：新增 partial unique index `uq_cart_guest_token`（已套用至雲端 production，push 前先跑唯讀查詢確認無既有重複 guest_token）；`addToCart` 改 insert-then-23505-retry（非 upsert：目標為 partial unique index，PostgREST upsert 的 on_conflict 無法指定其 WHERE 述詞）。本機 `/code-review high`（8 角度）複核無 blocking 發現，追加登記 F-018（23505 字面量重複／migration 缺 CONCURRENTLY）、F-019（修法未涵蓋首次訪客雙擊時 guest_token 尚未存在的情境），與 F-017 追加 addToCart 的 product/product_option 讀取未查 error（併入 T95）。【批次4 地基：T78／T81 可接續】",T20,0.5,97.75,P0,完成
T71,M2,安全,🚀◆ 訪客結帳 Email 未驗證掛單防護,"審查發現：結帳輸入任何既有會員 email 即可把訂單（含任意地址）掛進對方帳號；亦構成帳號枚舉。既有帳號改要求 OTP 登入、或訂單待 email 驗證後才綁定會員。｜✅ 完成（2026-07-11，PR #50）：訪客結帳 email 命中既有會員時，createOrder 改回傳 requiresLogin（不再靜默掛單），CheckoutForm 顯示「需要先登入」提示＋前往登入按鈕，導向 /login?redirect=%2Fcheckout 沿用既有 OTP 流程；新建帳號競態撞號分支回傳同一種結果物件，避免文案差異洩漏帳號存在與否。本機 /code-review high 先修：email 大小寫正規化繞過、重複的 return 字面量、過時文件（user-flow.md／test-plan.md）。/code-review ultra 再修：createOrder 加 IP＋guest_token 限流（防 requiresLogin 被當帳號枚舉 oracle）；抽出 normalizeEmail() 單一出處，登入態分支也套用（原本只有訪客分支正規化）；建帳競態分支改先判 Supabase 結構化錯誤碼、字串比對降為備援；requiresLogin 顯示時停用送出鈕。開發期間 T76（PR #51）同步把 createOrder 改走 create_order_with_items RPC＋待付款訂單 dedup，二次合併 master 解決重疊，187 測試全綠。",T23,1,98.75,P1,完成
T72,M2,安全,🚀◆ Email 模板 HTML escape＋表單長度上限,"✅ 完成（2026-07-12，PR #54）：order-confirmation.ts／new-order-notification.ts／support-request-notification.ts 三支寄信程式全數改用共用 escapeHtml()（比照已修復的 order-shipped-notification.ts）；checkoutFormSchema 補 recipientName max(50)／shippingAddress max(200)／email max(254)，checkout-form.tsx 同步補對應 maxLength。三輪本機 code-review（high→high→ultra 額度用盡改本機 max effort fallback）逐輪修正：客人 email 跳脫方式改抽出變數統一寫法、checkout maxLength UX 補齊、order-confirmation／new-order-notification 補上原本缺的 escape 回歸測試、email 欄位補長度上限。coding-system.md 案例庫回填「同一根因 bug 第 3／4 次出現」＋「vi.mock() 跨檔案抽共用 helper 會失效」兩條教訓。記錄未修：Unicode bidi override 顯示欺騙、maxLength 對 IME 組字邊界情況——與 HTML injection 不同類風險，本店實際情境影響低，未列入本次改動。",T30a,0.5,99.25,P1,完成
T73,M2,安全,🚀◆ 成功頁存取控制＋訂單號改 crypto 亂數,審查發現：僅憑 order_no 即可看 email／姓名／金額；order_no 用 Math.random（非密碼學強度、帶日期前綴）且該路由無限流。改 crypto.getRandomValues＋成功頁綁 session／短效 cookie。**範圍擴充（2026-07-03 F-006）：同根因存在於 checkout/pay（且會替他人訂單建 payment row）與 failed 頁——擁有權綁定須一併套用三頁**。｜✅ 完成（2026-07-14，PR #64）：①generateOrderNo 改 crypto.randomInt（格式不變 INC-YYYYMMDD-XXXXXX）②新增 src/lib/order/order-access-token.ts——無狀態 HMAC 簽章 cookie（order_access_token，httpOnly／path=/checkout／2h 效期，簽章含 orderNo:issuedAt、timingSafeEqual 常數時間比對、伺服器端驗核發時間防重放），不寫 DB③success/pay/failed 三頁以 ownerBySession(登入)||ownerByCookie 判定擁有權：非擁有者 success 頁隱藏 email、pay 頁 cookie 不符即擋在建 payment 之前顯示「無法在此瀏覽器繼續付款」；cookie 缺席放行（T111 代客付款連結客人裝置本就無 cookie）④三頁補限流。手動驗收（Chrome↔Edge 雙瀏覽器＋Node 模擬 webhook）全數通過：登入/純cookie 擁有者看得到 email、cookie 不符隱藏且擋單且不建 payment row、cookie 缺席降級不擋、限流生效。使用者本機 max code-review 修 4 項（PR #64 內）：限流 fail-open 防 Redis 故障讓付款頁 500、pay-create 限流移到寫入前、限流只對非擁有者施加（防擁有者被 DoS／poll 自我限流）、擋單文案軟化；衍生 T118（購物袋圖示不歸零）／T119（已取消訂單連結靜默轉首頁）／T121（getClientIp 改 x-vercel-forwarded-for）。merge 前 ORDER_ACCESS_TOKEN_SECRET 已由使用者加入 Vercel Preview＋Production。,T27,0.5,99.75,P1,完成
T74,M2,金流,🚀◆ pending payment 逾期換新 trade no,"✅ 完成（2026-07-11，PR #51）：/checkout/pay 判斷既有 pending payment 逾 30 分鐘即標記 failed、換發新 merchant_trade_no。深度審查修復：mark-failed 改條件式 UPDATE（防與 webhook 競態覆寫已付款 row，CLAUDE.md §6）；併發掃除改只清比自己早的 row（防 mutual-kill 互殺剛發的新 row）；發新號前檢查是否已有 paid payment（防窗口期二次付款）；webhook 端補 0 列更新偵測＋從 failed 救回 paid 的救援路徑（防 ECPay 交易號永久遺失）。【批次3，與 T66／T75／T76 同批】",T66,0.5,100.25,P1,完成
T75,M2,購物車,◆ 付款完成後才清購物車,"✅ 完成（2026-07-11，PR #51）：orders 新增 cart_id 欄位（migration 0010），建單當下不再清車，改在 ensureOrderPaid 付款成功時刪除。深度審查修復：cart 若在下單後又被追加新品項，不再整張保留（否則已付款品項會留在購物車被二次購買）——改精準移除訂單裡買過的品項（product_id+config_snapshot 比對），新加品項保留；checkout 重複結帳 dedup 若發現購物車已變更，自動取消舊單再建新單（原設計會讓客人被導去付舊金額）；migration 0011 加 partial unique index 防併發雙送出建出兩張可付款訂單。【批次3，與 T66／T74／T76 同批】",T23,0.5,100.75,P1,完成
T76,M5,訂單,訂單建立交易化（RPC）,"✅ 完成（2026-07-11，PR #51）：新增 create_order_with_items plpgsql function（migration 0010，本專案第一支 .rpc() 呼叫），order＋order_item 單一交易內完成，任何一段失敗整段自動 rollback。深度審查加固：migration 0011 收回 anon/authenticated 執行權＋釘 search_path（驗價紅線縱深防禦——function 為 SECURITY INVOKER，今日靠 RLS deny-by-default 擋下，但未來若對 orders 加 INSERT policy 會靜默變成完整繞過）；p_items 送 RPC 前先過 Zod 驗證補回原本 .insert() 的端到端型別檢查。【批次3，與 T66／T74／T75 同批】",T23,0.5,101.25,P2,完成
T77,M5,後台,shipOrder 先驗狀態再寫 tracking_no,審查發現：先 update tracking_no 再 transitionOrder→非法轉換拋錯時單號已寫入、狀態不一致。調整順序或併入同一交易。,T31,0.25,101.5,P2,未開始
T78,M5,安全,購物車寫入限流＋過期清理,"✅ 完成（2026-07-10，PR #46）：cookie 改 30 天 rolling；新增 `/api/cron/cart-cleanup`（CRON_SECRET 驗證，同 ecpay-reconcile）清除 `member_id IS NULL` 且 `updated_at` 逾 90 天的訪客車，CASCADE 帶走 cart_item；`cartWriteIpRatelimit`／`cartWriteTokenRatelimit` 套用到 addToCart／updateCartItemQuantity／removeCartItem；新增 `touchCartUpdatedAt` 補 cart_item 寫入不連動父層 cart.updated_at 的缺口。本機真實環境驗收（Upstash＋production Supabase）發現並修復一個未被測試覆蓋到的 bug：`.delete().order().limit().select()` 組合觸發 PostgREST 42703（Postgres DELETE 不支援 ORDER BY），改採先 SELECT 候選 id 再 DELETE 的兩步模式（比照 ecpay-reconcile）。","T58,T70",0.5,102,P2,完成
T79,M5,會員,findOrCreateMember 錯誤處理,審查發現：insert 錯誤被完全吞掉→後續 orders FK 失敗才爆籠統錯誤。檢查 error（容忍 23505 併發重複）並回傳失敗訊號。,T07,0.25,102.25,P2,未開始
T80,M5,安全,PII 稽核 log 留存強化,審查發現：logPiiAccess 走 console→Vercel logs 留存短（依方案數小時到數天）、稽核形同揮發。｜決策 #13 已定案（2026-07-08）：落表 pii_access_log（第 15 張表破例；僅 service role insert、無 select policy、禁 update/delete、隨 T34 備份），規格見 data-model.md §9.2；涉及 migration 動手前先 plan mode。｜✅ 完成（2026-07-09，PR #48）：migration 0009 已套用至雲端 production；logPiiAccess 改寫為 async 寫入 pii_access_log、失敗即 throw（fail closed，不回傳 PII）；revealOrderPii 補 await。/code-review high 修正 2 項：CLAUDE.md §5 表數／狀態同步、data-model.md §9.2 補記 actor_id FK auth.users on delete restrict 的已知限制（未來汰換管理員帳號會被卡住，留待 T09 定案）。,T64,0.5,102.75,P2,完成
T81,後續,購物車,會員購物車合併（登入併 guest cart）,"審查發現：cart.member_id 欄位存在但全程未用、購物車完全綁 cookie——會員換裝置／清 cookie 即遺失。登入時將 guest cart 併入會員 cart（0001 schema 註解原本即預期此行為）。【批次4：T70 先行——合併邏輯依賴「一 token 一車」保證】｜✅ 完成（2026-07-18）：新增 resolve-cart-identity.ts（識別身分單一出處，登入態硬不變式絕不 fallback guest token）、merge-guest-cart.ts（mergeGuestCartOnLogin claim／merge／backfillCartMemberId）、get-or-create-member-cart.ts；六處讀取鏈（read-cart／get-cart-count／cart actions／checkout／admin checkout／addToCart）改走 resolver；migration 0018 加 uq_cart_member（一會員一車，已 db push＋gen types）。與 T133 合併同支 PR（proxy guest_token 工作耦合，登記時已預期）。本機 /code-review max（10 角度＋逐項 verifier）揪出 7 項並修復：claim error/conflict 誤判成空車、resolveCartIdentity 未查 getUser error、checkout 兩次獨立 getUser 可能不一致、mergeCarts 搬列缺擁有權鎖（併發兩會員互吃品項）、selectMemberCartId 重複、addToCart 繞過 resolver、fail-soft try/catch 未包全函式；另手動端到端驗證追加抓到一個 trigger 回歸（trg_cart_updated_at 蓋掉 CAS 鎖的 SET 值，改用 RETURNING 回讀）並回填 docs/coding-system.md 案例庫。裁決不修：admin 代客建單共用車→轉 T135；backfillCartMemberId 陌生 email 曝光面→機率極低接受，T35 前重審。629 測試全綠（PR #84 squash 2e941d2）。","T08,T70",1,103.75,P2,完成
T82,M5,基礎建設,🚀◆ Vercel 環境變數分離（Preview／Production）,環境審查發現（2026-07-02）：13 個變數全部 Preview＋Production 共用→①staging 直接寫 production DB（已證實：production 有 7 張 sandbox 測試單）②T35 換正式 ECPay 金鑰時 preview 也會拿到真收單金鑰③NEXT_PUBLIC_SITE_URL 單一值致 webhook 回打錯環境④service role key 暴露給所有 preview build。修法：Preview 指向獨立 Supabase 專案／branch、ECPay 永遠留 sandbox 於 Preview、SITE_URL 分環境；順帶確認 Deployment Protection 開啟。完成後清除 production 測試資料（orders／payment／member／cart＋auth.users 測試帳號，寫一次性 script）。**必須在 T35 之前完成**。Dashboard 操作由使用者本人執行。,T52,1,104.75,P0,未開始
T83,M5,會員,🚀◆ Supabase Auth production 設定完成＋驗證,環境審查補列（2026-07-02）：T05 標完成但 production 端 Dashboard 設定（Site URL／Redirect URLs／Magic Link 範本套用）一直懸置、僅記在說明文字易被遺忘；另確認 OTP 效期設定。完成後在 production 實測一次 magic link 登入全流程（OTP 已驗證可用，缺的是 magic link 落地路徑）。Dashboard 操作由使用者本人執行。上線前必完成。｜補充（2026-07-09，T86 開發時觀察）：雲端 production 登入信實測只收到純連結、無驗證碼可輸入，佐證雲端仍在用預設範本、magic_link.html 未套用。｜✅ 完成（2026-07-10，使用者手動 Dashboard 操作＋全流程驗證）：Site URL／Redirect URLs 改為正式網域；發現雲端編輯 Magic Link 範本原始碼須先開 Custom SMTP（Supabase 平台限制），已用專案既有 Resend 帳號設定 Custom SMTP（sender 暫用 sandbox 網域 `onboarding@resend.dev`，待 T35 網域驗證後需回頭把寄件人換成 `orders@incantochen.com`，見 T35 說明欄）；貼上 `magic_link.html` 範本後，實測登入信正確含 OTP＋`/auth/confirm` 連結（sandbox 網域信件會落垃圾郵件匣，非設定錯誤）→ 點連結完成登入→`/account/orders` 正常載入→`/checkout` 登入身份送單成功導向綠界。過程衍生 T109（UX follow-up）。,T05,0.5,105.25,P0,完成
T84,M2,安全,🚀◆ 售後通知信 HTML escape（F-001）,✅ 完成（2026-07-12，PR #54）：與 T72 同批修復，詳見 T72 說明。,T72,0.25,105.5,P1,完成
T85,M2,品質,◆ webhook／createOrder 自動化測試（F-004）,"✅ 完成（2026-07-03，PR #29）：排程審查發現（2026-07-02 F-004）：notify webhook 與 createOrder 為最關鍵路徑但零測試——T67／T68／T69 修復易靜默回歸。**先補測試再動那三項修復**：notify（驗章失敗回 0|Error、pending→paid 冪等且第二次不重複副作用、金額核對）；createOrder（驗價變動不建單回 priceUpdated、order_no 碰撞重試、明細失敗處理）。實作：src/app/api/ecpay/notify/__tests__/route.test.ts＋src/app/checkout/__tests__/create-order.test.ts，84/84 測試通過。【批次1 前置：本項完成，可動 T67／T68／T69】",T51,1,106.5,P1,完成
T86,M2,安全,🚀◆ 登入頁開放轉址修正（F-005）,排程審查發現（2026-07-03 F-005）：login/page.tsx 的 ?redirect= 未驗證即 router.push——攻擊者可用本站登入頁接力導向釣魚站。修法：僅接受單一 / 開頭且非 //、/\ 開頭的站內相對路徑，否則退回 /。獨立修改、無批次耦合。｜✅ 完成（2026-07-09，PR #49）：新增 src/lib/auth/safe-redirect.ts，僅放行單一 / 開頭且非 //、/\ 開頭的站內相對路徑；login/page.tsx 改用 safeRedirect(searchParams.get("redirect"))。/code-review high 本機審查另抓到 tab/CR/LF 繞過（瀏覽器解析 URL 會先移除這些字元，"/\t/evil.com" 正規化後變 "//evil.com" 可繞過前綴檢查），已補防禦並加測試（src/lib/auth/__tests__/safe-redirect.test.ts）。瀏覽器手動全流程驗證暫緩：雲端登入信目前只有 magic link、無驗證碼，走不到會用到 redirectTo 的成功登入路徑（獨立問題，已記在 T83）。,T06,0.25,106.75,P1,完成
T87,M5,通知,取消／退款／出貨（override）通知信,"T67／T68／T69 review round 3（2026-07-03）順帶發現：src/lib/email/ 目前只有 order-confirmation／new-order-notification／support-request-notification 三支，後台 order-actions.tsx 手動把訂單改成 cancelled／refunded 時完全沒有寄信通知客人；notify webhook 的 ensureNotificationSent 也因此刻意只在 status===paid 才寄信（避免對已取消/退款訂單誤發訂單確認信），但取消/退款當下客人端不會收到任何通知。範圍比 T47（退換貨流程＋綠界金流退刷，含審核分流）小很多，可獨立先做：比照 order-confirmation.ts 架構新增 order-cancelled/order-refunded 通知信，在 order-actions.tsx 狀態轉換成功後寄出。T47 做完整退換貨流程時一併沿用。｜範圍擴充（2026-07-04，T30b PR review 順帶發現）：同一根因也存在於「出貨」——Admin Override 面板可直接把訂單改成 shipped，完全繞過 shipOrder，不寫 tracking_no、也不寄 T30b 新增的出貨通知信。修這批時一併在 overrideStatus 針對 to==='shipped' 補寄（沿用 sendOnce＋order_shipped type 去重）。",T31,0.5,107.25,P2,未開始
T88,M2,通知,◆ sendOnce 失敗信件永久無法重試（PR #30 ultrareview 第三輪）,PR #30 review 發現：send-once.ts 的核心設計原則是「絕不讓例外往外拋」，所以 send()（實際寄信）失敗時只標記 notification.status='failed'、正常返回，webhook 照樣回 1|OK。這讓 T69 round 3 加入的「webhook 重送時自動補寄失敗信件」自癒機制（ensureNotificationSent＋stale-pending/failed reclaim）對「寄信本身失敗」這個最常見情境完全打不到——觸發補寄的唯一途徑（ECPay 重送）永遠不會發生，因為回應已經是「成功」。信件會永久卡在 failed，無後台補寄按鈕、無排程工作可救。需重新設計 sendOnce 的錯誤傳遞方式，區分「次要環節（DB 讀寫）失敗可吞」vs「寄信真正失敗必須讓 webhook 知道以觸發 ECPay 重送」，屬架構決策，動手前先 plan mode。｜✅ 完成（2026-07-14｜PR #66 squash merge 1591861｜Ultraplan 初版＋本地 /code-review max 15 findings 修正）：兩層重試——快路徑＝sendOnce 回傳 boolean、webhook 對 ECPay 回 0|notification delivery failed 觸發重送（reclaim 補寄；四入口抽 settlePaid() 單一 chokepoint）；兜底＝每日 reconcile cron 新增 failed-notification sweep（掃 notification.status=failed 依 senders.ts 對照表補寄、order_shipped 一併涵蓋），ECPay 重送降級為加速器、最壞情況從永久遺失變延遲一個 cron 週期。ensureNotificationSent 改 PAID_LINEAGE 判斷（訂單推進到製作/出貨不切斷重試）；send-once 全部 Supabase 呼叫檢查 resolve {error}＋標 failed 加 pending 守衛＋best-effort 補去重錨點；測試 mock 補 resolve {error} 失敗形態（對齊真實 SDK）、419 tests 全綠。暫時／永久失敗分類與次數上限＝T123 技術債（過渡：連續 2–3 天同筆 Sentry 告警＝永久失敗轉人工、見 ops-runbook §4）。⚠️ 待驗：production cron 首次執行 summary 新欄位（T38 checklist 既有 cron 項涵蓋）。,T69,0.75,108,P1,完成
T89,M2,金流,◆ ECPay 主動對帳（金流終極兜底）,營運面檢討（2026-07-04）：CLAUDE.md §6 原則「Webhook＋主動對帳 API 共用冪等鎖」中的主動對帳從未實作。意義：無論 webhook 因任何原因遺失（含尚未想到的失敗模式），定期用 ECPay 訂單查詢 API（QueryTradeInfo）比對「綠界已收款」vs「系統記錄狀態」，不一致就修正＋告警。它是 Invariant（付款成功的訂單最終必為 paid）的最終執法者——T88 這類「重試迴路斷鏈」問題有對帳在就從「永久遺失」降級為「最多延遲一個對帳週期」，整類問題一次兜住。實作：Vercel Cron＋查詢 API＋復用既有冪等機制（ensureOrderPaid 等）；涉及金流，動手前先 plan mode。收單前必須就位。｜✅ 完成（2026-07-07，PR #33＋code-review 修正＋migration 0007 payment.last_reconciled_at）：GET /api/cron/ecpay-reconcile（vercel.json crons，每日 18:00 UTC）呼叫 ECPay QueryTradeInfo 對帳卡住的 pending 付款，金額吻合才修正為 paid＋告警（不吻合／ECPay 回報失敗／非預期回應一律只告警不動狀態）；抽出 ensureOrderPaid/ensureNotificationSent 到共用模組 src/lib/order/ensure-paid.ts 供 webhook 共用，order_status_log.note 標記推進來源（webhook／reconcile）供追蹤 webhook 可靠度（呼應 T88）。/code-review high 修正 4 項（CAS 未檢查搶到、last_reconciled_at 更新未檢查 error、失敗跳過節流、端點推導靜默失敗）；Sandbox 端到端驗證中另外發現並修正候選查詢 .or() 過濾字串未跳脫 ISO timestamp 特殊字元的 bug（PostgREST 值含句點須雙引號包住），修正後 3 筆真實卡住的付款全數正確對帳為 paid；2026-07-07 審查逐行複核正確（CAS／{error} 檢查／冷卻機制皆到位）。範圍不含逾期自動取消（留給 T66）。⚠️ 待驗：production cron 首次實際執行結果（Vercel Dashboard 確認），列 T38 checklist。,"T26,T53",1,109,P0,完成
T90,M2,營運,◆ 人工救援 runbook（docs/ops-runbook.md）,營運面檢討（2026-07-04）：程式多處已知失敗情境的設計答案是「留給人工修」（訂單卡 pending_payment、payment 缺 gateway_trade_no、notification 卡 failed、金額不符告警），但沒有任何文件寫「人工修」具體怎麼做。產出 docs/ops-runbook.md：每種已知異常情境的判斷方法（查哪張表哪個欄位）、修復 SQL／操作步驟、修復順序與風險提醒（先改哪張表、改錯會怎樣）、何時該聯絡綠界。「留給人工」而沒有 runbook＝留給恐慌。純 docs 產出、無程式改動；隨 T88／T89 落地後同步更新。｜✅ 完成（2026-07-15，PR #67 squash f4a6cd5）：交付物 docs/ops-runbook.md v1（§0–§9）早已存在並隨 T88／T89 同步更新至現況；本次全文覆核確認內容完整、與程式現況一致（§4 為 T88 落地版）；另隨 T107 補 §1 漂移態說明（orders=paid／payment=pending 屬自癒中）。,T31,0.5,109.5,P1,完成
T91,M5,安全,🚀◆ 帳號與金鑰營運安全,營運面檢討（2026-07-04）：程式內金鑰管理有規則，帳號層沒人管。清單：①Supabase／Vercel／Resend／GitHub／綠界 dashboard 全部開 2FA；②ECPay 正式金鑰洩漏時的輪替程序文件化（T35 換正式金鑰時一併定）；③依賴安全漏洞通報機制——啟用 GitHub Dependabot alerts（CLAUDE.md 說「安全漏洞才升級」但目前沒有任何機制會通知有漏洞），或定期跑 pnpm audit。Dashboard 操作由使用者本人執行；Claude 負責 Dependabot 設定檔與輪替程序文件。上線前必完成。｜補充（2026-07-08 審查隨手記）：④requireAdmin 以 email 字串全等比對判定管理員——程式端改比對前雙方 toLowerCase()+trim() 正規化（一行），並在設定 ADMIN_EMAIL env 時核對與 Supabase 正規化後的登入 email 完全一致，否則管理員會被靜默擋在後台外。,—,0.5,110,P1,未開始
T92,M2,訂單,◆ 訂單狀態機 UPDATE 缺前置狀態守衛（F-007）,"✅ 完成（2026-07-11，PR #53）：transitionOrder 的 CAS 守衛已於 T66（PR #51）補上，本任務補齊 adminOverrideStatus 同款 .eq(""status"", from) 守衛＋OrderTransitionRaceError。本機 code-review high 另抓到守衛本身在 to===from 時因 SET 未改動 WHERE 用到的欄位、對併發無效（EvalPlanQual，CLAUDE.md §6），改為 UPDATE 前直接擋下「目標與現況相同」；同步把 admin override 面板下拉選單排除目前狀態、overrideStatus 改回傳結構化 AdminActionResult。本機 max effort 二輪（ultra 額度用盡改本機 fallback）另抓到 overrideTo 的 useState 未隨 currentStatus 更新同步、下拉選單顯示值與實際送出值會悄悄不一致，已修復（改衍生值 effectiveOverrideTo）。審查過程另發現 CAS-update+log-insert 缺交易化的系統性風險（3 處近似實作已分歧），登記為新任務 T110，不併入本任務範圍。",T28,0.5,110.5,P1,完成
T93,M5,安全,◆ 售後申請限流＋同單去重（F-002）,排程審查發現（2026-07-02 F-002）：createSupportRequest 無速率限制、無「同單已申請」去重——登入會員可反覆呼叫（UI 重複點擊或直接 script server action）灌爆店家信箱與 support_request 表。需登入＋擁有 paid 訂單故濫用門檻較高，列 P2。修法：復用 src/lib/rate-limit.ts 既有 Upstash 基礎設施（memberId＋orderId 當 key）；或加「同訂單有 open 案件即拒新增」去重、引導客人回覆既有信件。與 T78 同屬「可灌爆寫入路徑缺限流」類別（G3），限流基礎設施可共用。｜✅ 完成（2026-07-17）：登入會員維度限流（order-scoped user+order key）＋同單 return_defect 去重（PR #70 squash 30fcf2e）。,"T33,T58",0.25,110.75,P0,完成
T94,M5,品質,◆ postcss CVE-2026-41305 修補（F-003）,排程審查發現（2026-07-02 F-003）：pnpm audit 回報 next>postcss@8.4.31 有 moderate XSS 公告（GHSA-qx2v-qp2m-jg93）。該漏洞需「解析使用者提交的 CSS 再嵌回 HTML」才可利用，本站不處理使用者 CSS、postcss 僅 build 期使用，實際曝險極低；依 CLAUDE.md §2「修補安全漏洞屬升級例外」登記追蹤。修法：pnpm.overrides 釘 postcss>=8.5.10 或等 Next 補丁版一併帶入；升級後 pnpm build＋pnpm audit 驗證清零、CSS 管線無回歸。｜✅ 完成（2026-07-15，PR #69）：pnpm-workspace.yaml 加 overrides `postcss@<8.5.10: '>=8.5.10 <9'`（pnpm v11 已不讀 package.json 的 pnpm.overrides、改用 workspace 檔；上界 <9 防日後靜默拉主版本，/code-review max 追加）。驗證：audit 清零（8.4.31 消失僅剩 8.5.15）、build 成功 CSS 無回歸、vitest 419 綠。,—,0.25,111,P0,完成
T95,M2,品質,◆ 客人端讀取路徑補 Supabase {error} 檢查（F-008）,審查發現（2026-07-07 F-008）：pay／success 頁、createOrder、verify-prices、cart 讀取共 7 處只解構 data 不檢查 error——DB 暫時性故障（timeout／連線池耗盡）被誤判為「查無資料」：已付款客人在成功頁被 redirect 回首頁、付款中客人被踢回空購物車（cart 已因建單清空）、驗價誤報「商品已下架」。失敗方向 fail-closed 無金額風險故列 P2。修法：逐點補 error 分支——頁面層 render「系統忙碌請重新整理」（不可 redirect 走人）、action 層回「系統忙碌請稍後再試」與「購物車已空」區分、verifyCartPrices 對 error throw「系統忙碌」而非「商品已下架」。與 T79 同根因（§6 SDK 錯誤回傳必檢查）建議同批修復；動 checkout/actions.ts 的部分注意與 T76 重構的順序協調。｜✅ 完成（2026-07-17）：pay/success/failed 頁＋verify-prices＋read-cart＋get-cart-count＋account/orders 三頁補 {error} 分支（DB 故障顯示系統忙碌／throw 交 error boundary、不誤報查無）（PR #70）。註：F-017 另列的 account/page.tsx（count）／account/profile.tsx／products/[slug] PDP 不在 PR #70 範圍，已由 PR #73 補齊（account/page＋profile）、products/[slug] 更早已修，F-017 全數收斂。,T23,0.5,111.5,P0,完成
